"Y","A","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185"
13.4164293830847,0,0,1,19,15,11,12,6,0.19,1,29,2,30,15,20,10,10,15,1,9,10,9,7,7,8,9,6,2,10,258,6,135,43,27982,2,4,7,153,1,1,242,5,7,1,8,9,9,9,3,1,6,10,3,3,4,4,4,5,7,4,-1,16,18,18,20,12,16,20,14,16,20,12,18,18,15,16,20,15,16,8,9,10,8,7,8,10,8,9,7,3,8,6,6,6,7,6,4,0,6,8,8,9,10,6,8,7,9,8,10,7,4,3,3,20,11,12,27,5,25,17,13,19,20,12,29,16,16,17,22,18,21,16,20,13,21,8,20,7,8,8,9,7,7,8,8,10,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
69.0410317977049,1,1,1,12,14,9,9,6,-0.39,0,22,4,16,20,19,16,18,11,1,7,8,8,7,8,6,7,6,2,9,35,9,214,60,26630,2,3,4,186,72,1,172,7,9,3,5,7,6,6,6,4,6,9,5,4,4,7,9,4,1,5,-1,25,20,15,25,10,5,30,10,15,30,10,5,25,10,20,25,15,5,6,8,7,8,9,5,8,9,7,9,6,6,5,3,4,2,2,2,0,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,1,2,-1,-1,-1,-1,-1,-1,25,20,15,25,10,5,30,10,15,30,10,5,25,10,20,25,15,5,7,8,9,7,9,6,6,8,7,8,0,2,1,1,-1,25,20,15,25,10,5,20,20,20,20,5,15,30,10,15,30,10,5,25,10,20,25,15,5,7,8,7,8,9,6,7,7,6,9
26.6740288638122,0,1,1,11,21,16,16,1,0.27,1,23,2,10,15,40,15,10,10,0,5,4,8,4,4,6,5,5,2,9,24,11,36,63,26908,2,2,2,41,1,2,304,2,8,1,5,5,6,5,5,4,2,10,2,7,10,7,8,2,2,5,-1,25,20,30,15,5,5,35,20,15,10,10,10,20,10,30,15,15,10,5,9,5,8,6,5,8,9,5,7,6,6,6,5,4,5,6,3,0,1,25,15,30,10,5,15,5,9,8,5,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,0,1,4,-1,20,20,25,15,8,12,30,5,30,10,5,20,30,20,20,10,5,15,15,10,25,25,20,5,5,8,8,5,7,5,7,8,5,8
26.1553110460826,0,1,1,14,20,4,4,13,-0.05,1,27,2,15,25,20,20,0,20,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,35,9,98,1,0,2,4,7,16,1,1,26,6,6,6,4,8,9,9,7,6,8,9,4,6,7,10,10,8,6,5,-1,14,18,17,16,15,20,20,15,15,20,10,20,13,20,14,20,13,20,6,8,9,8,10,5,8,8,10,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,1,2,-1,-1,-1,-1,-1,-1,14,18,17,16,15,20,20,15,15,20,10,20,13,20,14,20,13,20,7,8,8,9,10,6,8,8,10,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
138.445552533115,1,0,0,3,10,8,-1,9,-1,0,24,6,20,20,20,20,10,10,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0,-1,-1,1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
150.748436423572,1,1,1,9,20,3,18,6,0.34,0,24,6,14,18,20,18,16,14,0,7,7,7,7,7,5,5,5,-1,12,122,8,1,1,0,2,6,7,256,40,2,154,2,8,7,6,6,8,7,6,7,8,9,6,5,10,6,7,5,2,7,-1,173.9,173.9,195.7,195.7,108.7,152.2,90,50,20,70,20,20,275.9,69,137.9,206.9,241.4,69,70,80,70,90,60,-10,-10,-10,-10,-10,8,6,7,4,8,5,5,7,2,-1,190.5,166.7,190.5,190.5,95.2,166.7,70,80,90,80,40,7,3,3,-10,-10,-10,-10,-10,-10,190.5,166.7,190.5,190.5,95.2,166.7,80,30,40,80,30,50,216.2,135.1,108.1,216.2,189.2,135.1,70,80,90,70,40,-10,-10,-10,-10,-10,0,0,0,-1,-1,195.1,170.7,195.1,195.1,73.2,170.7,-10,-10,-10,-10,-10,-10,90,40,50,80,20,50,90,30,60,50,90,-10,70,80,90,60,30,-10,-10,-10,-10,-10
31.355001514729,0,0,1,21,22,9,9,19,0.55,0,22,4,20,5,25,25,5,20,0,6,8,8,-1,-1,-1,-1,-1,-1,12,240,12,134,39,20337,6,2,2,92,156,1,142,9,4,6,8,8,10,8,5,2,9,10,8,9,8,5,5,8,2,5,-1,25,15,25,15,10,10,40,5,20,10,10,15,40,5,15,20,10,10,8,9,7,8,5,7,9,9,7,7,9,8,8,8,6,6,7,6,0,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,3,2,30,10,10,25,5,20,20,15,20,20,10,15,30,15,10,20,10,15,40,10,5,30,5,10,8,9,7,6,6,7,9,7,7,7,0,0,0,-1,-1,25,15,25,15,5,15,25,10,20,25,5,15,30,15,15,20,10,10,50,15,5,20,5,5,8,9,9,7,5,7,9,7,6,6
17.3905039969173,0,0,1,14,18,4,4,7,-0.03,0,25,4,30,10,15,20,15,10,0,9,9,9,6,8,7,7,6,2,11,65,4,86,43,24921,2,2,5,184,68,2,273,3,10,9,8,10,8,5,7,1,5,8,9,8,9,7,10,5,6,4,-1,15,25,20,20,0,20,30,10,15,15,30,0,50,0,20,25,0,5,7,10,8,9,6,7,10,9,7,9,5,6,7,7,8,7,7,6,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,1,3,-1,-1,-1,-1,-1,-1,20,25,20,10,5,20,40,0,20,10,30,0,60,0,15,15,0,10,7,10,9,8,7,6,8,9,8,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
69.4222495640425,1,0,1,15,19,1,1,2,0.53,1,31,2,10,20,40,10,10,10,1,5,5,5,5,5,5,5,5,2,8,68,7,238,59,27100,2,1,7,206,149,2,358,6,3,1,4,9,8,8,10,1,1,10,6,9,9,8,7,7,2,6,-1,18,19,16,15,15,17,20,15,15,15,20,15,20,20,15,15,15,15,9,8,7,7,7,8,8,7,7,7,6,6,8,4,10,1,2,1,2,2.5,20,20,20,10,10,20,8,8,8,7,7,7,1,2,20,20,20,10,10,20,20,20,20,10,10,20,15,20,15,20,12,18,25,20,10,15,10,20,8,8,7,7,8,8,8,7,6,5,0,0,0,-1,-1,20,20,20,10,10,20,30,20,15,15,10,10,20,20,20,10,20,10,30,20,15,10,10,15,8,7,7,6,7,8,7,8,6,7
63.2145328202556,1,0,1,12,14,9,9,6,-0.39,0,25,2,25,20,15,25,10,5,0,6,6,5,3,4,2,2,2,2,6,253,10,101,1,0,4,6,3,233,1,3,261,2,6,6,9,8,5,5,7,4,5,6,9,9,9,5,5,9,5,7,-1,16,20,19,16,18,11,22,13,18,18,16,13,22,13,18,18,16,13,6,9,8,8,8,6,8,9,8,7,7,8,8,7,8,6,7,6,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,1,3,-1,-1,-1,-1,-1,-1,20,22,18,15,15,10,20,22,18,15,15,10,25,20,15,15,10,15,7,8,7,7,6,7,7,8,7,6,1,1,1,1,1,18,22,20,15,10,15,22,18,18,17,10,15,22,16,20,15,10,17,22,16,20,15,10,17,6,8,7,7,7,6,8,7,7,6
17.6481457235782,0,1,1,11,21,11,11,8,0.29,0,24,2,22,14,30,10,14,10,0,5,7,7,7,7,8,5,2,2,8,94,6,154,1,0,6,1,2,106,1,6,135,7,5,7,6,10,9,10,9,14,5,9,7,3,10,10,10,10,10,10,-1,20,20,25,25,5,5,20,20,25,25,5,5,20,20,25,25,5,5,8,10,10,10,8,8,10,10,8,10,8,8,8,8,8,8,8,9,0,5,30,20,10,10,20,10,9,9,9,9,9,7,1,2,-1,-1,-1,-1,-1,-1,30,10,20,20,10,10,30,10,20,20,10,10,30,10,20,20,10,10,9,9,9,9,9,8,8,8,8,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
55.9183957386383,0,0,1,4,18,10,-1,3,0.41,1,24,2,10,20,35,20,0,15,0,9,6,7,6,5,3,5,2,2,6,239,12,1,1,0,2,2,3,146,153,2,318,11,7,1,10,9,9,9,8,3,6,6,6,8,8,10,10,7,9,6,4,15,20,20,20,15,10,-1,-1,-1,-1,-1,-1,40,5,20,20,10,5,6,8,8,8,8,-1,-1,-1,-1,-1,9,7,7,9,6,5,8,6,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,3,2,-1,-1,-1,-1,-1,-1,30,15,15,20,5,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,5,7,8,8,-1,-1,-1,-1,-1,0,4,1,-1,-1,15,15,20,25,15,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6,7,7,8,9,-1,-1,-1,-1,-1
92.8512731691764,1,0,1,11,21,9,9,11,0.74,0,27,4,50,10,10,10,10,10,1,10,10,10,10,10,10,10,10,2,8,117,5,240,64,26100,3,1,2,234,38,1,210,4,8,6,6,5,4,3,6,5,5,8,4,5,5,4,4,4,4,5,-1,30,20,20,10,15,5,30,15,15,15,10,15,30,10,15,20,10,15,9,9,8,9,9,9,8,8,7,8,5,7,8,6,5,5,6,8,0,5,35,10,30,10,5,10,8,8,8,8,8,7,1,2,-1,-1,-1,-1,-1,-1,30,15,15,15,10,15,30,15,15,20,5,15,38.1,9.52,14.29,19.05,4.76,14.29,8,8,8,7,8,9,8,7,7,7,0,9,1,9,-1,25,15,20,20,10,10,35,5,15,25,5,15,60,5,10,10,5,10,60,5,10,10,5,10,9,9,9,7,8,9,7,7,8,6
46.2091092857284,0,1,1,2,19,18,-1,11,0.17,0,27,4,50,0,50,0,0,0,0,4,7,6,6,9,4,5,3,2,5,152,2,1,1,0,2,10,10,37,35,1,163,1,8,5,3,6,3,4,3,3,3,3,7,4,6,3,5,4,2,5,1,15,20,15,30,5,15,-1,-1,-1,-1,-1,-1,10,15,20,20,25,10,5,8,6,8,7,-1,-1,-1,-1,-1,6,7,7,7,6,5,7,3,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,1,2,-1,-1,-1,-1,-1,-1,30,20,10,20,10,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,7,8,5,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
27.0763017584483,0,0,1,11,21,3,3,16,0.34,0,29,2,30,25,18,18,4,5,0,2,7,7,5,5,4,4,1,2,10,23,11,19,60,27395,4,1,5,115,247,2,302,2,6,4,3,9,9,8,3,5,8,9,2,9,9,9,9,4,6,3,-1,15,20,20,20,15,10,30,15,15,20,10,10,45,10,10,20,5,10,5,8,7,7,8,5,8,8,6,9,6,8,8,6,5,7,6,5,0,4,25,10,20,20,5,20,5,8,8,7,8,3,1,3,-1,-1,-1,-1,-1,-1,30,20,20,15,10,5,50,15,10,10,5,10,50,10,10,15,5,10,5,8,8,7,8,5,7,8,7,7,0,2,0,2,-1,25,30,25,5,10,5,20,30,20,10,15,5,45,20,10,10,5,10,40,10,10,25,5,10,6,8,8,7,8,6,8,8,5,7
18.6884273149582,0,0,1,15,19,17,17,8,-0.19,1,27,2,20,20,20,20,10,10,0,7,5,6,2,10,3,6,5,2,12,103,15,137,1,0,2,8,2,159,186,3,132,6,6,5,10,10,9,9,6,8,3,8,10,8,10,9,9,9,1,6,-1,25,25,25,10,10,5,80,0,10,10,0,0,80,0,10,10,0,0,7,7,7,7,10,8,8,8,8,8,6,8,7,7,7,6,6,5,2,3,20,20,20,20,10,10,6,7,7,8,9,5,3,3,-1,-1,-1,-1,-1,-1,20,20,20,20,10,10,20,20,20,20,10,10,60,5,5,10,10,10,6,6,6,6,6,6,6,6,6,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
34.9037449705551,0,0,1,11,21,3,3,12,0.1,1,22,4,35,40,5,5,7,8,0,4,6,5,4,5,7,4,5,2,10,23,11,19,60,27395,4,1,5,115,247,2,302,2,6,4,3,9,9,8,3,5,8,9,2,9,9,9,9,4,6,3,-1,15,20,20,20,15,10,30,15,15,20,10,10,45,10,10,20,5,10,5,8,7,7,8,5,8,8,6,9,6,4,6,5,6,4,3,4,0,4,25,10,20,20,5,20,5,8,8,7,8,3,1,3,-1,-1,-1,-1,-1,-1,30,20,20,15,10,5,50,15,10,10,5,10,50,10,10,15,5,10,5,8,8,7,8,5,7,8,7,7,0,2,0,2,-1,25,30,25,5,10,5,20,30,20,10,15,5,45,20,10,10,5,10,40,10,10,25,5,10,6,8,8,7,8,6,8,8,5,7
45.5616163824193,0,0,1,4,18,14,-1,1,-0.12,0,27,2,20,15,25,15,20,5,0,6,9,8,6,7,4,8,5,1,11,50,11,1,1,0,4,3,2,59,1,4,159,2,8,3,7,5,5,4,3,1,5,10,9,7,7,7,7,9,2,7,10,10,20,20,10,20,20,-1,-1,-1,-1,-1,-1,25,20,10,20,10,15,8,8,8,8,8,-1,-1,-1,-1,-1,8,8,8,6,8,7,7,7,1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,1,2,-1,-1,-1,-1,-1,-1,30,10,20,20,10,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,9,8,8,8,-1,-1,-1,-1,-1,0,1,0,-1,0,20,10,20,20,20,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,8,8,8,8,-1,-1,-1,-1,-1
